,age,capital-gain,capital-loss,education-num,education_10th,education_11th,education_12th,education_1st-4th,education_5th-6th,education_7th-8th,education_9th,education_Assoc-acdm,education_Assoc-voc,education_Bachelors,education_Doctorate,education_HS-grad,education_Masters,education_Preschool,education_Prof-school,education_Some-college,hw,label,marital-status,native-country,occupation,race,relationship,sex,workclass
155,48,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,46,0,Married-civ-spouse,United-States,Craft-repair,White,Husband,1,Private
162,44,0,0,14,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,40,0,Divorced,United-States,Exec-managerial,Asian-Pac-Islander,Unmarried,0,Self-emp-inc
164,45,0,0,14,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,40,1,Married-civ-spouse,United-States,Sales,White,Husband,1,Self-emp-not-inc
168,18,0,0,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,16,0,Never-married,United-States,Handlers-cleaners,White,Own-child,1,Private
177,34,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,40,0,Never-married,United-States,Handlers-cleaners,Black,Not-in-family,1,Private
193,47,0,0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,45,0,Married-civ-spouse,United-States,Tech-support,White,Husband,1,Private
197,40,14084,0,14,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,55,1,Never-married,United-States,Exec-managerial,White,Not-in-family,0,Federal-gov
200,26,0,1876,14,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,40,0,Never-married,United-States,Prof-specialty,White,Not-in-family,0,Private
207,35,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,60,0,Divorced,United-States,Craft-repair,White,Not-in-family,1,Private
225,18,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,40,0,Never-married,United-States,Sales,White,Own-child,0,Private
244,38,0,1741,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,40,0,Divorced,United-States,Craft-repair,White,Not-in-family,1,Private
247,32,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,34,0,Never-married,United-States,Other-service,White,Not-in-family,0,Private
251,42,0,0,13,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,40,0,Married-civ-spouse,United-States,Adm-clerical,Black,Wife,0,Private
286,41,0,0,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,60,1,Married-civ-spouse,United-States,Prof-specialty,White,Husband,1,Private
297,39,3464,0,14,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,40,0,Married-civ-spouse,0,0,Asian-Pac-Islander,Wife,0,0
299,38,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,80,0,Divorced,United-States,Sales,White,Not-in-family,1,Private
300,48,7688,0,13,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,40,1,Married-civ-spouse,United-States,Adm-clerical,White,Husband,1,Private
303,55,4386,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,40,1,Married-civ-spouse,United-States,Sales,White,Husband,1,Private
306,26,0,0,12,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,45,0,Never-married,United-States,Tech-support,White,Not-in-family,1,Private
357,40,0,0,11,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,40,1,Married-civ-spouse,United-States,Tech-support,White,Husband,1,Private
359,26,0,0,5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,40,0,Married-civ-spouse,Portugal,Craft-repair,White,Husband,1,Self-emp-not-inc
361,62,0,0,14,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,40,1,Married-civ-spouse,United-States,Prof-specialty,White,Husband,1,Private
363,43,0,1564,13,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,45,1,Divorced,United-States,Exec-managerial,White,Not-in-family,1,Private
374,44,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,40,0,Never-married,United-States,Craft-repair,Black,Not-in-family,1,Private
382,25,0,0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,40,0,Married-civ-spouse,United-States,Craft-repair,White,Husband,1,Private
387,44,0,2415,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,6,1,Married-civ-spouse,United-States,Adm-clerical,White,Wife,0,Private
394,34,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,35,0,Never-married,United-States,Other-service,White,Not-in-family,0,Private
397,20,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,35,0,Never-married,United-States,0,White,Other-relative,0,0
403,34,0,0,11,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,64,0,Divorced,United-States,Tech-support,White,Not-in-family,0,Private
409,32,0,0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,50,0,Married-civ-spouse,United-States,Exec-managerial,White,Husband,1,Private
417,30,0,0,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,19,0,Never-married,United-States,Other-service,White,Own-child,0,Private
421,17,2176,0,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,18,0,Never-married,United-States,Handlers-cleaners,White,Own-child,1,Private
428,63,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,40,1,Married-civ-spouse,United-States,Exec-managerial,White,Husband,1,Self-emp-inc
440,29,0,0,13,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,40,0,Never-married,United-States,Prof-specialty,White,Not-in-family,1,Private
455,40,0,0,11,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,40,1,Married-civ-spouse,United-States,Machine-op-inspct,Asian-Pac-Islander,Husband,1,Private
468,49,0,1977,14,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,45,1,Married-civ-spouse,United-States,Exec-managerial,White,Husband,1,Private
479,23,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,35,0,Never-married,United-States,Other-service,White,Unmarried,0,Private
491,46,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,40,0,Divorced,United-States,Adm-clerical,White,Not-in-family,1,Federal-gov
504,25,0,0,13,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,40,0,Never-married,United-States,Sales,White,Not-in-family,0,Private
508,47,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,40,0,Separated,United-States,Adm-clerical,Black,Unmarried,0,Local-gov
518,21,0,0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,35,0,Never-married,United-States,0,White,Unmarried,0,0
519,34,0,0,13,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,50,1,Married-civ-spouse,United-States,Prof-specialty,White,Husband,1,Private
522,24,0,0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,50,0,Divorced,United-States,Handlers-cleaners,Black,Not-in-family,1,Local-gov
534,67,20051,0,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,48,1,Married-civ-spouse,United-States,Prof-specialty,White,Husband,1,Private
539,34,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,40,0,Never-married,United-States,0,Black,Unmarried,0,0
544,27,0,0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,50,0,Married-civ-spouse,United-States,Sales,White,Husband,1,Private
550,46,0,0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,50,0,Divorced,United-States,Exec-managerial,White,Not-in-family,1,Self-emp-not-inc
597,42,0,1902,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,50,1,Married-civ-spouse,United-States,Prof-specialty,White,Husband,1,Self-emp-not-inc
603,42,0,0,5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,40,0,Married-civ-spouse,United-States,Other-service,White,Husband,1,Local-gov
612,24,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,50,0,Married-civ-spouse,United-States,Handlers-cleaners,White,Husband,1,Private
613,26,1055,0,13,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,40,0,Never-married,United-States,Prof-specialty,White,Own-child,1,Local-gov
634,58,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,60,0,Married-civ-spouse,United-States,Craft-repair,White,Husband,1,Self-emp-not-inc
636,21,0,0,13,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,40,0,Never-married,United-States,Handlers-cleaners,White,Not-in-family,1,Private
668,20,0,1762,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,40,0,Married-spouse-absent,South,0,Asian-Pac-Islander,Own-child,0,0
760,36,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,18,0,Never-married,United-States,Other-service,White,Not-in-family,0,Private
765,32,0,0,6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,42,0,Separated,United-States,Other-service,White,Unmarried,0,Private
774,55,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,38,0,Never-married,United-States,Sales,White,Not-in-family,1,Private
783,41,0,0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,60,0,Married-civ-spouse,United-States,Exec-managerial,White,Husband,1,Self-emp-not-inc
798,46,0,0,14,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,35,1,Never-married,United-States,Tech-support,White,Not-in-family,1,Private
800,43,0,0,12,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,40,0,Divorced,United-States,Craft-repair,White,Not-in-family,1,Private
808,64,0,0,13,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,40,1,Married-civ-spouse,United-States,Prof-specialty,White,Husband,1,Private
837,41,0,0,13,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,50,1,Divorced,United-States,Prof-specialty,White,Not-in-family,0,Private
840,17,0,0,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20,0,Never-married,United-States,Sales,White,Own-child,1,Private
858,34,0,0,13,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,40,0,Never-married,United-States,Prof-specialty,White,Own-child,0,Private
880,49,0,0,5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,40,0,Divorced,United-States,Machine-op-inspct,White,Not-in-family,0,Private
881,32,0,0,13,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,40,1,Married-civ-spouse,Philippines,Adm-clerical,White,Other-relative,1,Private
886,23,0,0,13,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,28,0,Never-married,United-States,Exec-managerial,White,Own-child,1,Private
890,48,0,0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,30,0,Divorced,United-States,0,Black,Unmarried,0,0
917,67,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,40,1,Married-civ-spouse,United-States,Exec-managerial,Asian-Pac-Islander,Husband,1,Self-emp-inc
959,42,0,0,12,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,40,1,Married-civ-spouse,United-States,Exec-managerial,White,Husband,1,Private
966,35,0,0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,60,1,Married-civ-spouse,United-States,Sales,White,Husband,1,Self-emp-inc
974,44,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,70,0,Never-married,United-States,Transport-moving,White,Unmarried,1,Private
981,22,0,0,12,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,40,0,Never-married,United-States,Adm-clerical,White,Not-in-family,0,Private
991,41,0,0,11,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,40,0,Married-civ-spouse,United-States,Machine-op-inspct,White,Husband,1,Private
1011,34,0,0,11,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,40,0,Never-married,United-States,Transport-moving,White,Own-child,1,Private
1041,23,0,0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,40,0,Never-married,United-States,Machine-op-inspct,Black,Own-child,0,Private
1046,64,0,0,12,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,20,0,Never-married,United-States,0,White,Not-in-family,0,0
1048,20,0,0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,50,0,Never-married,United-States,Sales,White,Not-in-family,0,Private
1064,49,0,0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,80,1,Married-civ-spouse,United-States,Sales,White,Husband,1,Private
1068,30,0,0,13,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,50,0,Married-civ-spouse,United-States,Exec-managerial,White,Husband,1,Private
1076,27,0,1590,13,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,40,0,Never-married,United-States,Sales,Black,Not-in-family,0,Private
1086,32,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,40,0,Married-civ-spouse,United-States,Protective-serv,White,Husband,1,Private
1104,34,0,0,12,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,25,1,Married-civ-spouse,United-States,Prof-specialty,White,Wife,0,Self-emp-not-inc
1111,33,0,0,13,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,45,1,Married-civ-spouse,United-States,Sales,White,Wife,0,Private
1121,45,4865,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,40,0,Divorced,United-States,Tech-support,White,Not-in-family,0,Federal-gov
1132,31,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,40,0,Never-married,Mexico,Other-service,White,Unmarried,0,Private
1150,25,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,30,0,Never-married,United-States,Other-service,White,Own-child,1,Private
1160,44,3411,0,11,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,40,0,Married-civ-spouse,United-States,Craft-repair,White,Husband,1,Private
1180,50,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,40,1,Married-civ-spouse,United-States,0,White,Husband,1,0
1185,51,0,0,14,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,40,0,Married-civ-spouse,United-States,0,White,Husband,1,0
1192,39,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,60,0,Married-civ-spouse,United-States,Transport-moving,White,Husband,1,Private
1197,59,0,0,14,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,55,0,Married-civ-spouse,United-States,Prof-specialty,White,Husband,1,Private
1203,44,0,0,13,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,40,1,Never-married,United-States,Other-service,White,Not-in-family,1,Private
1204,33,0,0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,40,0,Married-civ-spouse,United-States,Craft-repair,Black,Husband,1,Private
1217,33,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,41,0,Divorced,China,0,Asian-Pac-Islander,Not-in-family,0,0
1228,50,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,40,0,Divorced,England,Adm-clerical,White,Unmarried,0,Private
1245,62,0,0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,20,0,Widowed,United-States,Other-service,White,Not-in-family,0,Private
1247,49,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,40,0,Divorced,United-States,Adm-clerical,White,Not-in-family,1,Private
1254,28,0,1762,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,40,0,Never-married,United-States,Transport-moving,White,Not-in-family,1,Self-emp-not-inc
1272,28,0,0,12,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,80,0,Never-married,United-States,Other-service,White,Not-in-family,0,Private
1283,21,0,0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,10,0,Never-married,United-States,Farming-fishing,Black,Own-child,1,Private
1295,26,0,1628,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,50,0,Married-civ-spouse,United-States,Craft-repair,White,Husband,1,Private
1297,41,0,0,12,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,40,0,Married-civ-spouse,United-States,Tech-support,White,Husband,1,Private
1298,44,0,0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,40,0,Never-married,United-States,Other-service,Black,Own-child,1,Local-gov
1313,51,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,40,0,Divorced,United-States,Adm-clerical,White,Unmarried,0,Private
1315,24,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,40,0,Never-married,United-States,Machine-op-inspct,White,Own-child,0,Private
1316,35,7298,0,16,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,40,1,Married-civ-spouse,United-States,Prof-specialty,White,Husband,1,Private
1322,27,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,50,1,Never-married,United-States,Sales,White,Not-in-family,1,Private
1323,55,0,0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,24,1,Married-civ-spouse,United-States,Transport-moving,White,Husband,1,Private
1333,57,0,0,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,60,0,Married-civ-spouse,United-States,Prof-specialty,White,Husband,1,Private
1338,71,2329,0,13,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,16,0,Divorced,United-States,Tech-support,White,Own-child,0,Private
1343,59,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,40,0,Never-married,United-States,Adm-clerical,White,Own-child,1,State-gov
1346,61,0,0,13,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,50,1,Married-civ-spouse,Germany,Exec-managerial,White,Husband,1,Self-emp-inc
1349,62,3411,0,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,50,0,Married-civ-spouse,United-States,0,White,Husband,1,0
1362,22,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,24,0,Never-married,United-States,Other-service,White,Not-in-family,0,Private
1365,49,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,40,0,Divorced,United-States,Exec-managerial,White,Unmarried,0,Self-emp-inc
1369,20,0,0,6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,40,0,Never-married,United-States,Handlers-cleaners,White,Own-child,1,Private
1381,23,0,0,13,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,50,0,Never-married,United-States,Sales,White,Not-in-family,1,Private
1384,37,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,60,0,Married-civ-spouse,United-States,Exec-managerial,White,Husband,1,Self-emp-not-inc
1385,45,0,0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,45,0,Never-married,United-States,Machine-op-inspct,White,Own-child,1,Private
1394,43,0,0,6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,40,0,Never-married,United-States,Machine-op-inspct,Black,Not-in-family,1,Private
1398,51,2105,0,6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,45,0,Married-civ-spouse,United-States,Handlers-cleaners,White,Husband,1,Private
1400,40,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,40,0,Never-married,United-States,Adm-clerical,White,Not-in-family,0,Private
1402,50,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,40,0,Divorced,United-States,Adm-clerical,White,Not-in-family,0,Private
1411,43,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,78,0,Married-civ-spouse,Thailand,Other-service,Asian-Pac-Islander,Husband,1,Self-emp-inc
1416,32,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,52,0,Never-married,United-States,Other-service,White,Not-in-family,1,Private
1420,19,0,0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,50,0,Never-married,United-States,0,White,Own-child,1,0
1434,35,0,0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,40,0,Never-married,United-States,Protective-serv,Black,Not-in-family,1,State-gov
1447,44,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,66,0,Married-civ-spouse,United-States,Exec-managerial,White,Husband,1,Self-emp-not-inc
1465,70,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,40,0,Married-civ-spouse,United-States,Adm-clerical,Black,Husband,1,Federal-gov
1467,49,0,0,14,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,75,0,Divorced,United-States,Exec-managerial,White,Not-in-family,0,Private
1485,31,2105,0,6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,40,0,Married-civ-spouse,Mexico,Farming-fishing,White,Husband,1,Private
1491,26,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,41,0,Divorced,United-States,Exec-managerial,White,Not-in-family,0,Private
1504,60,0,0,14,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,40,0,Married-civ-spouse,United-States,0,White,Husband,1,0
1509,42,0,0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,40,0,Married-civ-spouse,United-States,Adm-clerical,Black,Husband,1,State-gov
1518,25,0,1340,13,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,40,0,Never-married,United-States,Exec-managerial,White,Own-child,1,Private
1524,26,0,2339,13,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,55,0,Never-married,United-States,Prof-specialty,White,Not-in-family,1,Local-gov
1541,62,0,1628,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,70,0,Married-civ-spouse,United-States,Prof-specialty,White,Husband,1,Private
1546,17,0,0,6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,30,0,Never-married,United-States,Sales,White,Own-child,1,Private
1552,56,0,0,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,40,0,Divorced,United-States,Machine-op-inspct,White,Not-in-family,0,Private
1553,24,0,0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,40,0,Never-married,United-States,Adm-clerical,White,Not-in-family,0,Private
1555,44,0,0,8,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,40,0,Divorced,United-States,Transport-moving,Black,Unmarried,1,Private
1566,29,0,0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,40,0,Married-civ-spouse,United-States,Farming-fishing,White,Husband,1,Private
1570,19,0,0,13,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,40,0,Never-married,Jamaica,0,Black,Own-child,0,0
1586,51,0,0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,45,0,Divorced,Scotland,Exec-managerial,White,Unmarried,1,Private
1588,22,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,20,0,Never-married,United-States,Exec-managerial,White,Own-child,0,Private
1593,55,15024,0,14,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,50,1,Married-civ-spouse,0,Prof-specialty,White,Husband,1,Private
1624,31,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,35,0,Never-married,United-States,Other-service,Other,Not-in-family,0,Private
1625,61,0,0,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,35,1,Married-civ-spouse,United-States,Prof-specialty,White,Husband,1,Self-emp-not-inc
1648,35,0,0,13,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,55,1,Married-civ-spouse,United-States,Exec-managerial,White,Husband,1,Private
1650,19,0,0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,20,0,Never-married,United-States,Handlers-cleaners,White,Own-child,1,Private
1653,34,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,40,0,Married-civ-spouse,United-States,Protective-serv,White,Husband,1,Local-gov
1655,44,15024,0,13,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,50,1,Married-civ-spouse,Italy,Prof-specialty,White,Husband,1,Private
1679,32,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,40,0,Married-civ-spouse,United-States,Transport-moving,White,Husband,1,Private
1698,44,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,45,0,Divorced,United-States,Craft-repair,White,Not-in-family,1,Private
1707,32,0,0,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,40,0,Widowed,United-States,0,White,Not-in-family,0,0
1717,41,0,0,14,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,45,1,Married-civ-spouse,China,Prof-specialty,Asian-Pac-Islander,Husband,1,Private
1743,38,0,0,13,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,40,0,Never-married,United-States,Adm-clerical,White,Own-child,0,Private
1746,32,0,0,13,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,40,0,Never-married,United-States,Prof-specialty,White,Own-child,1,Private
1749,45,0,0,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,40,0,Widowed,United-States,Adm-clerical,White,Unmarried,0,Private
