,cluster,households,housing_median_age,latitude,longitude,median_house_value,median_income,ocean_proximity,population,total_bedrooms,total_rooms
1665,2,312.0,52.0,37.9,-122.28,362900.0,7.1754,NEAR BAY,779.0,328.0,2318.0
1668,2,623.0,43.0,37.73,-122.44,313600.0,5.5622,NEAR BAY,1488.0,684.0,3700.0
1678,2,949.0,52.0,37.87,-122.26,241700.0,1.1859,NEAR BAY,1721.0,998.0,2773.0
1705,2,220.0,52.0,37.82,-122.28,83100.0,1.4113,NEAR BAY,576.0,243.0,945.0
1711,2,268.0,50.0,37.75,-122.23,240000.0,3.9632,NEAR BAY,654.0,289.0,1542.0
1720,2,516.0,34.0,37.79,-122.21,139200.0,2.8365,NEAR BAY,1517.0,557.0,2364.0
1721,2,273.0,14.0,37.59,-122.04,243600.0,5.3428,NEAR BAY,1116.0,302.0,1727.0
1727,2,486.0,52.0,38.1,-122.25,147900.0,2.5042,NEAR BAY,1113.0,556.0,2315.0
1730,2,908.0,38.0,37.74,-122.45,346800.0,6.203,NEAR BAY,2263.0,930.0,5688.0
1731,2,236.0,49.0,37.9,-122.29,276800.0,3.3333,NEAR BAY,576.0,238.0,1283.0
1743,2,301.0,52.0,37.74,-122.43,300900.0,5.3292,NEAR BAY,724.0,314.0,1514.0
1758,2,176.0,52.0,37.76,-122.23,248500.0,4.1458,NEAR BAY,374.0,185.0,1049.0
1780,2,252.0,52.0,37.74,-122.47,500001.0,8.1189,NEAR BAY,735.0,265.0,2055.0
1781,2,328.0,52.0,37.45,-122.15,500001.0,6.767,NEAR BAY,734.0,353.0,2117.0
1782,2,443.0,29.0,37.96,-122.35,97200.0,1.875,NEAR BAY,1357.0,524.0,1899.0
1840,0,250.0,31.0,32.76,-117.1,151800.0,2.9286,NEAR OCEAN,619.0,267.0,987.0
1846,2,205.0,45.0,37.54,-122.31,396900.0,5.539,NEAR OCEAN,492.0,220.0,1222.0
1858,0,298.0,21.0,32.57,-117.12,174100.0,4.8274,NEAR OCEAN,983.0,295.0,1738.0
1871,1,337.0,39.0,40.79,-124.18,70500.0,1.745,NEAR OCEAN,883.0,352.0,1836.0
1875,2,384.0,30.0,36.55,-121.94,487100.0,3.4048,NEAR OCEAN,628.0,584.0,2722.0
1877,2,327.0,46.0,37.11,-122.11,206800.0,5.208,NEAR OCEAN,850.0,404.0,1993.0
1886,0,489.0,41.0,32.75,-117.24,226000.0,2.79,NEAR OCEAN,1015.0,514.0,1989.0
1906,2,403.0,44.0,37.74,-122.5,268100.0,4.3611,NEAR OCEAN,1154.0,470.0,2082.0
1912,1,441.0,33.0,40.88,-124.15,57500.0,1.725,NEAR OCEAN,1165.0,506.0,2235.0
1913,0,412.0,20.0,32.75,-117.12,114600.0,2.3261,NEAR OCEAN,850.0,413.0,1406.0
1928,0,338.0,27.0,34.43,-119.73,261000.0,2.303,NEAR OCEAN,978.0,404.0,1448.0
1945,2,578.0,26.0,37.52,-122.32,419200.0,8.4693,NEAR OCEAN,1611.0,591.0,4042.0
1953,0,584.0,19.0,34.05,-118.74,500001.0,7.9184,NEAR OCEAN,2782.0,686.0,3487.0
1989,2,241.0,17.0,37.53,-122.51,355800.0,7.2929,NEAR OCEAN,672.0,262.0,1574.0
2020,0,278.0,41.0,33.8,-118.21,150800.0,3.2778,NEAR OCEAN,1053.0,279.0,1251.0
2030,0,410.0,39.0,33.99,-118.55,500001.0,7.9096,NEAR OCEAN,928.0,456.0,2603.0
2053,2,295.0,25.0,36.59,-121.93,386500.0,5.0621,NEAR OCEAN,622.0,353.0,2201.0
