,age,c_charge_degree,days_b_screening_arrest,jailtime,label,priors_count,race,sex
515,33,0,0.0,0,1,2,0,Male
519,29,1,-1.0,2,0,5,0,Male
521,48,1,-1.0,129,0,1,1,Male
526,24,1,-1.0,15,1,0,1,Male
528,27,1,-1.0,1,1,6,1,Male
530,31,1,-1.0,0,1,0,0,Male
544,43,0,-12.0,4,0,2,0,Male
552,26,1,-1.0,1,1,3,0,Male
560,41,1,-6.0,6,1,1,1,Male
565,40,1,0.0,0,1,5,1,Male
567,27,0,0.0,64,0,5,0,Male
623,31,0,-27.0,-1,1,1,0,Male
649,39,1,-13.0,4,0,2,1,Male
657,22,1,-1.0,0,1,3,0,Male
671,31,0,0.0,-1,1,0,0,Female
682,21,1,-1.0,0,0,0,0,Male
724,21,1,-1.0,0,1,1,1,Male
734,23,1,-1.0,8,0,6,0,Male
737,24,1,-3.0,0,1,0,0,Male
766,26,1,-1.0,22,0,5,0,Male
775,41,1,-29.0,0,0,8,0,Male
782,22,1,0.0,2,0,0,1,Male
784,48,1,-1.0,11,1,0,1,Male
802,36,1,-1.0,1,0,3,0,Male
806,30,1,-4.0,4,0,17,0,Male
829,33,1,-1.0,1,1,0,0,Male
834,22,0,28.0,1,0,1,0,Male
844,43,1,-1.0,1,1,3,0,Male
856,46,1,-1.0,1,1,0,1,Male
865,25,1,-1.0,9,0,0,0,Male
874,23,1,-1.0,33,1,3,0,Male
890,29,1,7.0,179,1,1,0,Female
892,26,1,-1.0,11,0,9,0,Male
901,42,0,0.0,0,1,0,1,Female
903,26,0,-52.0,19,1,4,1,Male
916,49,1,-1.0,0,0,3,0,Male
919,63,0,-1.0,220,1,3,0,Male
920,29,1,0.0,1,1,2,1,Male
921,46,0,0.0,1,1,0,0,Male
936,21,1,-1.0,108,1,1,0,Male
953,30,0,-9.0,7,1,1,0,Male
999,22,0,0.0,1,0,1,0,Male
1005,27,0,-1.0,2,0,11,0,Male
1006,33,1,0.0,1,1,1,0,Male
1018,26,1,-1.0,2,1,0,0,Male
1019,75,1,-1.0,1,1,5,0,Female
1022,34,1,-1.0,2,0,0,0,Male
1056,22,1,-1.0,19,0,5,0,Male
1060,27,1,-1.0,20,1,2,0,Male
1064,44,1,0.0,0,1,3,1,Male
1068,50,0,0.0,0,1,2,1,Male
1080,32,1,0.0,-1,1,0,0,Male
1082,27,1,-1.0,799,0,9,0,Male
1090,23,1,0.0,0,0,1,0,Male
1099,30,0,213.0,0,0,4,0,Female
1112,22,1,50.0,-1,0,3,0,Male
1114,49,0,127.0,0,0,0,1,Female
1140,20,0,-1.0,11,0,0,0,Male
1144,23,1,-1.0,1,0,0,1,Male
1145,60,1,0.0,13,1,0,1,Female
1155,23,1,-1.0,1,0,2,0,Male
1156,20,1,-1.0,0,0,0,0,Male
1179,33,1,-1.0,43,0,2,1,Female
1201,33,1,-2.0,0,1,1,0,Female
1204,44,1,-1.0,8,0,0,1,Male
1205,28,1,-1.0,51,0,5,0,Male
1211,34,0,-1.0,1,1,0,0,Female
1228,24,0,-1.0,0,0,2,0,Male
1249,20,0,-2.0,0,0,0,1,Male
1260,20,1,-1.0,209,0,0,0,Male
1262,45,0,-1.0,0,1,5,1,Female
1270,28,0,0.0,0,1,0,0,Male
1284,26,1,-1.0,6,0,5,0,Female
1288,44,1,-1.0,2,1,2,0,Male
1289,45,0,-1.0,2,1,0,1,Male
1299,47,1,-1.0,1,0,7,0,Male
1308,27,0,-1.0,1,1,0,0,Male
1323,32,1,0.0,-1,1,4,0,Male
1335,22,1,-1.0,1,1,6,0,Male
1353,30,1,-1.0,602,0,7,0,Male
1363,33,0,-2.0,0,1,0,1,Female
1371,28,1,-1.0,1,0,2,0,Male
1373,51,1,-18.0,17,1,1,0,Male
1375,21,1,0.0,0,1,0,0,Male
1394,34,1,-1.0,4,0,19,0,Male
1403,25,0,0.0,1,0,2,1,Male
1419,22,1,13.0,43,1,1,0,Male
1420,42,0,-1.0,0,0,1,1,Male
1424,30,1,0.0,317,0,20,0,Male
1432,42,0,-1.0,34,1,2,0,Female
1435,26,1,-43.0,38,0,7,0,Male
1438,23,0,-1.0,1,1,0,0,Female
1443,24,1,-1.0,1,0,5,0,Male
1454,31,0,-1.0,3,0,2,1,Male
1459,30,1,-1.0,6,1,6,1,Male
1495,32,1,-1.0,1,0,1,0,Male
1499,23,1,-1.0,0,1,0,1,Male
1507,23,1,-2.0,1,0,0,0,Female
1519,47,1,-1.0,0,0,14,0,Male
1532,30,0,0.0,2,0,7,0,Male
1537,51,1,0.0,0,0,6,1,Male
1540,49,0,-1.0,11,0,2,1,Female
1548,21,0,-1.0,1,1,0,0,Male
1557,26,1,-1.0,0,1,0,0,Male
1573,45,0,-11.0,0,1,1,1,Female
1578,32,0,-41.0,28,0,1,1,Female
1583,43,1,16.0,76,0,11,1,Male
1584,56,1,-38.0,21,0,5,1,Male
1594,25,1,-1.0,0,1,0,0,Male
1597,45,0,-1.0,28,1,2,0,Male
1602,51,0,-1.0,20,0,5,1,Female
1603,32,1,-15.0,15,1,1,0,Male
1610,37,1,0.0,0,1,2,0,Male
1611,44,1,-1.0,1,1,6,0,Male
1615,45,1,-1.0,0,0,8,0,Male
1618,34,1,-1.0,1,0,9,1,Male
1622,30,0,0.0,0,1,0,0,Male
1645,22,1,-1.0,0,0,13,0,Male
1657,51,0,0.0,91,1,0,1,Male
1690,44,1,0.0,5,0,4,1,Female
1693,20,1,-1.0,1,0,1,1,Male
1698,46,0,125.0,0,1,5,1,Male
1699,35,1,-30.0,13,1,4,1,Female
1705,27,0,-5.0,4,0,0,1,Male
1714,52,0,0.0,0,1,0,1,Female
1720,46,1,-1.0,0,1,0,1,Male
1721,28,1,-2.0,2,1,6,1,Male
1728,37,1,-1.0,1,1,8,0,Male
1731,28,1,-1.0,40,1,8,0,Male
1782,51,1,0.0,-1,1,3,0,Male
1790,32,1,-1.0,65,0,5,1,Male
1792,23,1,-1.0,1,0,1,0,Male
1797,69,1,-1.0,1,0,6,1,Male
1804,36,1,-38.0,0,0,14,1,Male
1823,39,0,0.0,-1,1,2,1,Male
1855,27,1,-1.0,1,1,1,1,Male
1857,66,0,-1.0,0,1,0,1,Male
1868,24,0,0.0,0,1,3,1,Male
1873,38,1,-27.0,0,0,1,1,Male
1880,25,1,-1.0,274,1,2,0,Male
1885,35,1,-23.0,0,0,7,0,Male
1886,22,1,-1.0,1,0,2,0,Male
1896,29,0,-2.0,0,1,0,1,Male
1923,25,1,-107.0,36,0,4,0,Female
1935,25,1,-23.0,0,0,1,0,Male
1941,42,1,-7.0,2,1,0,1,Male
1944,25,1,-1.0,7,1,0,0,Male
1946,21,1,-1.0,0,1,0,1,Male
1948,46,0,0.0,4,1,9,1,Male
1971,42,1,0.0,0,1,0,0,Female
1993,37,1,-74.0,25,1,12,0,Male
2023,30,1,-1.0,0,1,3,0,Male
2024,50,0,-1.0,1,1,7,0,Female
2034,32,0,-1.0,0,1,0,0,Female
2052,25,1,507.0,12,1,7,0,Male
2056,25,1,-1.0,0,1,0,0,Male
2067,26,1,0.0,-1,1,1,0,Male
2073,27,1,0.0,14,0,13,0,Male
2098,49,0,-1.0,1,1,2,1,Male
2105,52,0,-1.0,0,1,0,1,Male
2124,34,1,-1.0,2,1,1,1,Male
2131,26,0,404.0,1,0,9,0,Female
2171,24,1,-1.0,2,1,0,1,Male
2178,43,0,-5.0,1,0,0,1,Male
2188,42,0,0.0,1,0,0,0,Male
2191,34,1,-1.0,1,1,2,1,Female
2202,54,1,-1.0,13,0,6,0,Male
2209,52,1,-1.0,33,0,9,0,Male
2212,21,1,982.0,5,1,1,0,Male
2229,35,1,-1.0,0,1,13,0,Male
2230,46,0,-22.0,20,0,3,0,Male
2236,19,1,-1.0,1,0,0,1,Female
2237,22,0,-1.0,2,1,0,0,Male
2243,28,1,-1.0,1,1,3,1,Male
2249,24,1,-1.0,218,0,6,0,Male
2250,25,1,-14.0,2,0,21,0,Male
2300,34,1,-1.0,0,0,1,0,Male
2326,20,1,-1.0,8,0,0,1,Male
2328,24,1,-1.0,6,0,1,0,Male
2331,31,1,-1.0,77,0,7,0,Male
2347,46,1,-5.0,2,1,4,1,Male
2348,38,1,0.0,-1,1,4,0,Male
2356,57,1,0.0,27,1,0,1,Male
2375,50,1,-1.0,30,1,0,1,Male
2386,41,1,-1.0,1,0,3,0,Male
2388,34,0,-1.0,0,1,0,1,Male
2402,28,1,-1.0,29,1,4,0,Male
2447,53,0,0.0,0,1,0,0,Male
2466,45,0,0.0,1,1,3,0,Male
2467,31,1,-1.0,1,1,14,0,Female
2475,25,1,-1.0,155,0,5,0,Male
2478,61,0,0.0,0,1,0,1,Male
2486,21,0,-1.0,0,1,1,1,Male
2496,27,1,-1.0,49,0,8,0,Male
2499,27,0,-1.0,0,1,1,0,Male
2502,26,0,0.0,1,0,9,1,Male
2517,62,0,-1.0,3,1,0,1,Female
2519,53,0,-1.0,0,1,1,0,Male
2526,26,1,-1.0,36,0,5,0,Male
2528,22,1,-1.0,15,0,1,0,Male
2546,22,1,-2.0,1,1,0,1,Male
2547,54,1,0.0,20,0,0,1,Female
2552,23,0,-1.0,5,0,6,0,Male
2555,30,1,-1.0,2,0,11,0,Male
2567,46,1,-1.0,59,0,3,0,Male
2587,24,0,-78.0,1,1,1,0,Male
2599,48,1,-1.0,2,0,7,0,Male
2618,48,1,0.0,1,0,2,0,Male
2619,41,1,-1.0,2,1,1,0,Male
2649,45,1,-1.0,1,0,19,1,Male
2664,33,1,-1.0,14,1,2,1,Female
2667,55,0,-1.0,1,1,0,1,Female
2707,57,1,-1.0,4,1,0,1,Male
2722,22,1,-1.0,0,0,0,0,Male
2723,19,1,-40.0,35,0,1,0,Male
2730,22,1,0.0,11,1,0,0,Male
2739,32,1,-32.0,1,0,26,0,Male
2741,59,1,-1.0,1,1,0,1,Male
2769,32,0,-1.0,1,0,0,0,Male
2773,36,0,-1.0,1,0,5,0,Male
2776,35,1,-1.0,1,0,7,0,Male
2780,43,0,-54.0,30,0,3,1,Male
2788,34,1,-1.0,2,0,0,0,Male
2798,53,1,283.0,32,1,1,1,Male
2813,53,1,-21.0,21,1,1,1,Male
2815,25,1,-1.0,35,1,5,0,Male
2821,28,0,29.0,20,0,14,0,Male
2826,34,1,-29.0,1,1,22,0,Male
2834,54,1,-58.0,5,0,12,1,Male
2837,23,1,0.0,0,1,1,0,Male
2855,29,1,0.0,160,1,2,0,Male
2864,21,1,-1.0,0,0,1,0,Male
2877,44,1,-1.0,2,1,0,0,Male
2881,21,1,0.0,7,1,0,0,Male
2898,22,0,-1.0,0,1,0,1,Male
2911,22,1,-28.0,13,1,1,0,Female
2916,26,1,-1.0,2,0,6,0,Male
2922,26,1,35.0,44,1,1,0,Female
2930,25,0,0.0,0,1,0,0,Male
2934,25,1,-1.0,87,0,9,1,Male
2936,32,1,-1.0,4,0,6,0,Male
2942,32,1,-1.0,0,1,9,0,Male
2973,44,1,-3.0,0,1,1,1,Female
2979,23,1,-45.0,0,1,1,0,Male
3012,39,1,0.0,0,1,2,0,Male
3043,41,1,0.0,2,1,1,1,Male
3048,35,0,0.0,34,0,2,1,Male
3052,43,0,-1.0,1,1,8,0,Male
3071,35,0,-1.0,15,0,0,1,Male
3079,23,0,-1.0,12,1,0,0,Male
3101,20,1,-1.0,1,0,1,1,Male
3103,21,1,-1.0,46,1,0,0,Male
3126,61,0,0.0,-1,1,0,1,Male
3143,56,1,-38.0,9,1,7,1,Male
3147,39,1,-1.0,31,0,8,1,Female
3151,29,0,-1.0,2,0,2,0,Male
3154,22,0,-91.0,1,0,5,0,Male
3155,31,0,-39.0,19,1,6,0,Male
3158,56,1,-1.0,1,1,1,0,Female
3163,37,1,-1.0,3,1,1,0,Male
3169,26,1,0.0,3,0,2,0,Male
3177,34,1,-1.0,13,0,6,0,Male
3196,27,1,-66.0,0,1,1,1,Female
3204,31,1,-1.0,52,0,16,0,Male
3214,62,1,-1.0,0,1,0,1,Male
3223,28,1,-1.0,1,1,21,0,Male
3266,26,1,0.0,8,0,1,1,Male
3276,29,0,-1.0,0,1,0,1,Male
3286,30,1,-1.0,1,1,0,0,Male
3287,43,1,-1.0,47,1,4,1,Male
3308,42,0,-43.0,40,1,2,1,Male
3323,24,0,-1.0,0,1,0,0,Female
3331,27,1,53.0,27,0,8,0,Male
3338,20,1,-16.0,0,0,2,0,Male
3341,57,0,-1.0,77,1,0,0,Female
3360,27,1,165.0,24,0,2,0,Male
3387,32,0,-1.0,2,1,0,0,Female
3389,52,1,-1.0,0,1,1,1,Male
3412,33,0,-51.0,0,1,3,0,Male
3419,23,1,-2.0,1,0,1,0,Female
3421,24,1,-1.0,1,0,1,0,Male
3463,25,1,-24.0,0,0,1,0,Male
3468,36,0,-1.0,1,1,8,0,Male
3485,24,1,-1.0,1,1,0,0,Male
3491,47,0,0.0,63,1,3,1,Male
3514,20,0,-1.0,1,0,3,0,Male
3518,38,0,-1.0,0,1,4,0,Male
3543,27,1,-1.0,1,1,0,0,Male
3544,22,1,-22.0,16,0,2,0,Male
3558,20,1,-1.0,1,0,1,0,Male
3566,48,1,-1.0,1,1,4,0,Male
3581,27,1,-1.0,2,0,0,1,Female
3593,24,1,-1.0,68,0,7,0,Male
3597,60,1,-13.0,0,1,13,0,Male
3608,48,0,-8.0,5,1,1,0,Male
3614,50,1,-4.0,1,1,1,1,Male
3619,30,1,-48.0,47,1,1,0,Male
3620,23,1,0.0,0,0,2,1,Male
3638,47,1,-1.0,212,0,19,0,Male
3647,59,0,-25.0,0,1,1,0,Male
3659,30,0,-27.0,0,1,1,1,Female
3660,27,1,0.0,1,0,6,0,Male
3687,37,0,-1.0,0,1,0,0,Male
3690,60,0,-1.0,1,1,1,0,Male
3692,42,1,-1.0,17,0,4,1,Male
3701,25,0,-1.0,0,1,0,1,Female
3708,39,1,-1.0,2,1,3,1,Male
3710,40,1,-1.0,13,1,3,0,Male
3717,23,0,-1.0,0,1,0,1,Female
3740,25,0,-1.0,0,0,2,0,Male
3741,34,1,-1.0,4,1,5,0,Male
3742,33,0,-1.0,1,0,1,0,Male
3748,48,0,-1.0,1,0,1,1,Female
3750,30,1,-1.0,0,1,1,0,Female
3753,27,1,-175.0,70,0,13,1,Male
3762,32,1,-1.0,0,1,1,0,Male
3776,33,0,-1.0,0,0,0,1,Female
3781,38,1,-2.0,0,0,5,1,Male
3789,33,1,-1.0,0,1,0,0,Male
3794,36,1,-1.0,0,0,1,0,Female
3797,23,0,249.0,276,0,3,0,Male
3800,24,1,-1.0,214,0,8,0,Male
3803,45,0,-1.0,46,1,20,0,Male
3808,40,0,-1.0,29,0,0,1,Male
3823,54,0,66.0,-1,0,2,1,Male
3825,34,0,-2.0,1,1,0,1,Female
3829,34,0,-6.0,5,1,3,0,Male
3861,21,1,-2.0,0,0,0,0,Female
3865,42,1,-1.0,1,1,0,0,Male
3868,24,1,-1.0,1,0,5,0,Male
3871,32,0,-1.0,1,1,3,0,Female
3875,27,1,0.0,0,1,2,0,Male
3878,32,0,-1.0,3,0,1,0,Male
3883,49,0,0.0,0,1,0,0,Male
3914,32,1,0.0,1,1,2,1,Male
3920,21,1,117.0,41,0,1,0,Male
3929,21,1,88.0,527,0,1,0,Male
3958,21,1,-1.0,2,1,0,0,Male
3977,30,0,0.0,0,0,0,0,Male
4005,29,1,-1.0,0,0,0,0,Male
4042,35,0,-309.0,6,1,4,0,Male
4045,20,0,-1.0,1,0,1,1,Male
4046,50,0,316.0,434,0,12,0,Female
4066,49,1,0.0,0,1,3,1,Male
4094,44,1,-1.0,1,1,2,0,Male
4095,51,1,-1.0,3,1,3,0,Male
4097,33,0,-22.0,21,1,2,1,Male
4098,54,0,-1.0,29,1,0,1,Female
4109,29,1,-1.0,1,1,0,0,Female
4112,28,1,-1.0,0,1,0,0,Female
4117,27,1,-1.0,0,1,5,1,Male
4121,24,1,-1.0,199,0,7,0,Male
4122,32,0,-1.0,19,1,0,1,Male
4152,27,0,-1.0,15,0,2,0,Male
4207,45,0,-22.0,0,1,1,0,Male
4226,34,1,-1.0,1,1,1,0,Male
4235,63,1,0.0,0,1,1,0,Female
4243,36,1,-8.0,8,0,16,0,Male
4254,30,0,-1.0,35,1,1,1,Male
4268,36,1,-1.0,1,1,1,1,Male
4269,61,1,64.0,66,0,13,0,Male
4286,26,1,0.0,2,0,4,1,Male
4290,28,1,-1.0,3,1,2,0,Male
4294,56,1,-1.0,1,0,12,0,Male
4296,48,0,-26.0,23,0,8,1,Female
4302,31,0,-1.0,26,0,4,1,Male
4315,30,1,-1.0,0,1,1,1,Male
4317,53,1,-1.0,10,0,6,1,Female
4322,59,0,-1.0,0,1,0,1,Female
4323,59,0,-1.0,1,1,0,0,Male
4326,51,1,-1.0,2,0,0,0,Male
4342,61,1,-1.0,3,0,2,0,Male
4346,43,1,-1.0,1,0,0,0,Male
4361,30,1,-1.0,29,1,4,1,Female
4369,41,1,-1.0,0,1,0,0,Male
4377,22,1,0.0,0,0,1,0,Male
4383,39,1,-1.0,1,0,10,1,Male
4408,34,0,-1.0,0,1,3,1,Male
4427,32,1,-1.0,5,0,0,1,Male
4439,27,1,-1.0,1,0,9,0,Male
4443,55,0,-17.0,4,1,1,1,Male
4454,20,1,-1.0,0,1,0,0,Male
4456,38,0,-23.0,1,1,1,1,Female
4473,62,1,0.0,33,0,22,0,Male
4479,37,1,-1.0,2,1,1,0,Male
4487,27,1,-1.0,0,0,7,1,Male
4500,22,1,0.0,1,1,0,1,Male
4509,36,0,0.0,0,1,0,0,Female
4512,25,1,0.0,2,1,0,0,Male
4528,38,0,-1.0,0,1,10,0,Male
4539,23,1,-1.0,120,0,1,0,Male
4550,21,1,-1.0,2,1,0,0,Male
4560,25,1,-1.0,49,0,5,0,Male
4562,26,0,-1.0,2,1,0,1,Male
4601,28,1,3.0,2,0,2,1,Male
4603,26,1,-1.0,4,0,6,0,Male
4615,51,1,-87.0,86,1,3,1,Male
4624,22,1,0.0,1,0,2,1,Male
4636,50,0,160.0,60,0,13,0,Male
4702,26,1,-1.0,0,0,2,0,Male
4717,56,1,-1.0,5,1,0,0,Male
4730,24,1,-1.0,0,0,1,0,Male
4741,53,0,0.0,0,1,0,1,Female
4745,22,0,-1.0,1,1,0,0,Female
4746,27,0,-1.0,0,0,2,0,Male
4754,20,1,-1.0,1,0,0,1,Male
4776,21,1,-1.0,9,0,3,0,Male
4781,35,1,0.0,2,1,13,0,Female
4795,25,1,0.0,0,0,6,1,Male
4821,25,1,-1.0,1,0,2,0,Male
4823,25,1,-1.0,5,1,0,0,Female
4879,24,1,-163.0,155,1,1,0,Male
4886,29,0,-1.0,0,1,1,0,Female
4904,21,0,-1.0,0,1,0,0,Female
4918,36,1,-1.0,0,1,1,1,Male
4934,23,1,-10.0,9,0,1,0,Male
4937,30,1,-1.0,21,1,1,0,Male
4943,23,0,-1.0,0,0,0,1,Male
4948,39,1,-4.0,1,1,1,1,Male
4952,63,0,-1.0,4,1,5,1,Male
4967,26,1,-1.0,1,1,1,0,Male
4968,33,0,-5.0,0,1,1,1,Female
4978,25,0,-3.0,0,1,0,0,Female
4979,43,0,-17.0,16,1,2,0,Female
4992,31,1,0.0,0,0,11,0,Male
5009,61,0,-4.0,0,1,0,1,Male
5010,38,0,-1.0,1,1,0,0,Female
5023,25,1,0.0,0,0,8,0,Male
5031,47,1,-1.0,117,0,28,1,Female
5034,57,0,0.0,109,1,0,0,Male
5036,26,1,-1.0,1,0,4,0,Male
5045,67,1,-80.0,46,1,2,1,Male
5051,37,1,-1.0,0,1,0,0,Male
5052,28,1,-1.0,2,0,8,0,Male
5060,28,1,0.0,80,0,6,0,Male
5062,29,1,0.0,0,1,0,0,Male
5067,20,1,-1.0,0,1,0,0,Male
5093,25,1,-1.0,1,0,5,1,Male
5097,34,0,-1.0,0,1,1,0,Male
5102,45,1,-1.0,1,1,7,0,Male
5130,43,0,-1.0,1,1,1,1,Male
5145,56,1,0.0,15,1,1,1,Male
5188,67,1,-1.0,1,1,8,0,Male
5197,22,1,0.0,0,1,0,0,Male
5200,37,1,0.0,0,1,0,1,Male
5212,27,1,-1.0,2,1,0,0,Male
5217,58,0,-1.0,2,1,5,1,Male
5221,33,0,0.0,0,1,0,0,Male
5224,22,1,-1.0,0,1,0,0,Male
5249,25,1,0.0,0,1,2,0,Male
5253,52,0,-1.0,0,0,7,0,Male
5267,31,0,-1.0,0,0,5,0,Male
5285,62,1,-1.0,3,1,0,1,Male
5288,46,1,-14.0,7,1,2,1,Male
5296,58,0,-1.0,0,1,0,1,Female
5301,57,0,0.0,-1,0,0,1,Male
5304,36,0,0.0,0,1,1,0,Female
5311,42,1,-1.0,24,1,16,0,Female
5321,21,1,-1.0,0,1,1,1,Male
5323,34,0,0.0,0,1,4,0,Male
5328,23,1,0.0,0,1,0,1,Male
5353,30,1,-7.0,6,1,0,1,Male
5362,29,1,-1.0,1,0,0,0,Male
5366,24,1,0.0,141,1,1,0,Male
5380,27,1,-1.0,39,0,2,0,Male
5383,31,0,-1.0,1,0,3,1,Male
5385,29,1,-40.0,15,1,1,0,Female
5390,27,0,-1.0,37,1,3,0,Male
5397,32,1,-15.0,2,1,1,0,Male
5411,28,0,-1.0,26,0,5,1,Male
5420,58,1,-1.0,2,1,0,0,Male
5424,61,1,253.0,95,1,9,0,Male
5430,29,1,-1.0,23,0,11,0,Female
5433,33,1,1027.0,2,1,5,0,Male
5434,35,0,-1.0,8,1,8,0,Male
5436,21,1,-1.0,55,0,1,0,Male
5451,24,1,216.0,0,1,1,0,Male
5452,27,1,-1.0,1,1,6,1,Female
5469,21,1,0.0,0,0,1,0,Male
5480,28,0,-1.0,0,0,1,0,Female
5493,47,0,-1.0,4,1,5,1,Male
5523,24,1,-2.0,0,1,0,0,Female
5537,24,1,-1.0,0,1,1,0,Male
5539,42,1,-1.0,0,1,7,0,Male
5547,31,0,0.0,0,0,3,1,Male
5554,22,1,-19.0,17,0,1,0,Male
5556,23,1,-1.0,3,1,0,0,Male
5562,28,1,-1.0,0,0,7,0,Male
5571,22,0,-1.0,0,0,0,1,Male
5582,27,1,-1.0,6,0,5,1,Male
5586,24,1,-1.0,2,1,0,1,Male
5595,29,0,-1.0,0,1,4,0,Male
5623,34,0,-1.0,2,1,1,0,Male
5628,28,0,264.0,76,1,3,0,Male
5629,25,0,-1.0,0,0,8,0,Male
5634,32,1,145.0,36,0,5,1,Male
5658,29,1,-1.0,49,0,11,1,Male
5670,41,0,-1.0,0,1,0,0,Female
5678,55,1,-1.0,1,0,1,1,Male
5695,33,1,-1.0,2,0,12,0,Male
5707,43,1,-26.0,25,0,4,0,Male
5729,30,1,-82.0,1,1,1,0,Male
5745,36,0,-1.0,1,0,0,0,Male
5747,21,1,-1.0,1,1,1,1,Male
5768,33,1,-2.0,1,0,3,1,Female
5787,40,0,-1.0,0,1,2,0,Male
5801,38,1,-1.0,0,0,0,0,Male
5804,31,1,-1.0,0,0,19,0,Male
5811,49,1,-1.0,2,0,12,1,Male
5816,31,0,-1.0,1,1,0,0,Male
5821,24,1,0.0,7,1,6,1,Male
5823,26,1,-41.0,41,1,3,0,Male
5829,40,1,0.0,4,0,0,0,Male
5831,39,0,-1.0,1,1,0,1,Male
5832,22,1,0.0,-1,0,1,0,Male
5840,34,1,-1.0,25,0,5,0,Female
5842,52,0,-1.0,0,1,0,1,Male
5855,27,1,-1.0,3,1,0,0,Male
5863,26,0,-23.0,0,1,1,0,Female
5884,69,0,-7.0,2,0,0,1,Male
5890,24,1,565.0,29,0,0,0,Male
5907,39,1,-1.0,13,1,1,0,Male
5942,50,1,-8.0,5,1,5,1,Male
5953,34,1,-1.0,11,0,12,0,Male
5970,31,1,-1.0,0,0,11,1,Male
5981,35,1,-188.0,134,0,13,0,Male
6004,33,1,0.0,0,0,2,0,Male
6008,21,1,0.0,-1,1,1,1,Male
6009,20,1,0.0,2,0,0,1,Female
6010,43,0,-1.0,0,0,1,0,Male
6025,25,1,-1.0,1,0,1,0,Male
6036,56,1,-1.0,0,1,6,1,Male
6057,43,1,-1.0,0,1,2,1,Male
6063,35,1,-1.0,0,0,1,0,Male
6076,54,1,0.0,2,1,0,0,Male
6087,27,0,-1.0,1,1,0,0,Female
6105,20,0,-1.0,0,0,0,0,Male
6114,20,1,-1.0,187,0,1,0,Male
6126,34,0,-1.0,1,0,0,0,Female
6153,26,1,-31.0,0,1,1,0,Female
6157,55,1,-1.0,6,0,8,0,Male
6163,29,1,-2.0,0,1,4,1,Male
6170,38,1,0.0,39,0,7,0,Female
6195,25,1,0.0,0,1,0,1,Female
6204,36,0,0.0,0,1,1,0,Male
6208,55,1,-1.0,1,1,2,0,Female
6230,30,1,0.0,0,1,0,0,Male
6281,52,1,0.0,0,0,0,0,Female
6302,48,1,48.0,134,0,18,1,Male
6303,19,1,-1.0,8,0,1,1,Male
6304,53,1,-1.0,11,1,0,1,Male
6315,24,1,-25.0,9,1,2,0,Male
6326,24,1,-1.0,1,1,1,1,Male
6327,48,1,-1.0,1,0,3,0,Male
6334,30,1,-1.0,0,0,3,1,Female
6351,26,1,-1.0,0,1,0,0,Male
6357,24,0,-1.0,1,1,7,1,Female
6363,42,0,0.0,6,1,0,1,Male
6370,64,1,-1.0,4,1,0,0,Female
6380,50,1,-32.0,1,1,2,1,Male
6386,23,0,-1.0,3,0,2,0,Male
6393,31,0,0.0,0,1,1,0,Male
6398,49,1,-1.0,1,1,0,1,Male
6424,37,0,-9.0,0,1,1,1,Male
6432,32,1,-1.0,1,1,8,0,Male
6434,35,1,96.0,108,0,4,0,Male
6444,48,1,-1.0,1,1,0,1,Male
6446,25,0,0.0,3,0,1,1,Male
6455,51,1,-64.0,63,0,2,1,Male
6456,46,0,-1.0,0,1,0,0,Male
